Transaction Date,Value Date,Description,Type,Amount,Category,Merchant,Reference,Account Number,Currency,Payment Method
2026-02-28,2026-02-28,Salary Credit - February,INCOME,95000,Salary,InfiniTech,SAL-4-0228,XXXX-XXXX-XXXX-9012,INR,BANK_TRANSFER
2026-02-27,2026-02-27,Home Loan EMI,EXPENSE,27500,Housing,Home Bank,EMI-4-0227,XXXX-XXXX-XXXX-9012,INR,AUTO_DEBIT
2026-02-26,2026-02-26,Vegetables and Fruits,EXPENSE,840,Groceries,Local Market,GR-4-0226,XXXX-XXXX-XXXX-9012,INR,CASH
2026-02-25,2026-02-25,Train Ticket,EXPENSE,1320,Travel,IRCTC,TR-4-0225,XXXX-XXXX-XXXX-9012,INR,CARD
2026-02-24,2026-02-24,Freelance Project - Landing Page,INCOME,18000,Freelance,Client Three,FRL-4-0224,XXXX-XXXX-XXXX-9012,INR,BANK_TRANSFER
2026-02-23,2026-02-23,Gas Cylinder Refill,EXPENSE,1180,Utilities,Indane,GS-4-0223,XXXX-XXXX-XXXX-9012,INR,AUTO_DEBIT
2026-02-22,2026-02-22,Restaurant Lunch,EXPENSE,690,Food,Barbeque Nation,RL-4-0222,XXXX-XXXX-XXXX-9012,INR,CARD
2026-02-21,2026-02-21,Phone Bill,EXPENSE,499,Utilities,Airtel,PB-4-0221,XXXX-XXXX-XXXX-9012,INR,MOBILE_PAYMENT
2026-02-20,2026-02-20,Mutual Fund Redemption,INCOME,6500,Investment,AMC Fund,MF-4-0220,XXXX-XXXX-XXXX-9012,INR,BANK_TRANSFER
2026-02-19,2026-02-19,Books and Stationery,EXPENSE,1250,Education,BookMart,BS-4-0219,XXXX-XXXX-XXXX-9012,INR,CARD
2026-02-18,2026-02-18,Bus Pass,EXPENSE,550,Transport,City Transit,BP-4-0218,XXXX-XXXX-XXXX-9012,INR,MOBILE_PAYMENT
2026-02-17,2026-02-17,Weekend Brunch,EXPENSE,1600,Food,Cafe Mocha,WB-4-0217,XXXX-XXXX-XXXX-9012,INR,CARD
